Year,Week,Division,Cases
2025,47,Rajshahi Division (Out of CC),65
2025,47,Rangpur Division (Out of CC),12
2025,47,Sylhet Division (Out of CC),6
2025,47,Barishal Division (Out of CC),55
2025,47,Chattogram Division (Out of CC),125
2025,47,Dhaka Division (Out of CC),71
2025,47,DNCC,145
2025,47,DSCC,26
2025,47,Khulna Division (Out of CC),null
2025,47,Mymensingh Division (Out of CC),33
2025,47,Rajshahi Division (Out of CC),null
2025,47,Rangpur Division (Out of CC),null
2025,47,Sylhet Division (Out of CC),5
2025,47,Barishal Division (Out of CC),125
2025,47,Chattogram Division (Out of CC),136
2025,47,Dhaka Division (Out of CC),107
2025,47,DNCC,226
2025,47,DSCC,121
2025,47,Khulna Division (Out of CC),15
2025,47,Mymensingh Division (Out of CC),60
2025,47,Rajshahi Division (Out of CC),null
2025,47,Rangpur Division (Out of CC),null
2025,47,Sylhet Division (Out of CC),2
2025,48,Barishal Division (Out of CC),181
2025,48,Chattogram Division (Out of CC),141
2025,48,Dhaka Division (Out of CC),246
2025,48,DNCC,182
2025,48,DSCC,118
2025,48,Khulna Division (Out of CC),119
2025,48,Mymensingh Division (Out of CC),96
2025,48,Rajshahi Division (Out of CC),46
2025,48,Rangpur Division (Out of CC),9
2025,48,Sylhet Division (Out of CC),1
2025,48,Barishal Division (Out of CC),150
2025,48,Chattogram Division (Out of CC),135
2025,48,Dhaka Division (Out of CC),254
2025,48,DNCC,191
2025,48,DSCC,142
2025,48,Khulna Division (Out of CC),25
2025,48,Mymensingh Division (Out of CC),61
2025,48,Rajshahi Division (Out of CC),41
2025,48,Rangpur Division (Out of CC),5
2025,48,Sylhet Division (Out of CC),3
2025,48,Barishal Division (Out of CC),146
2025,48,Chattogram Division (Out of CC),116
2025,48,Dhaka Division (Out of CC),147
